                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.00395,                0.49022,                0.86004,                0.00454,                0.49003,                0.88509,                0.90964,                0.83923,                0.94041,                0.79349,                0.00351,                  0.441,                0.81203,                0.00378,                0.56185,                0.81879,               0.003466,               0.003466,               0.003466
                     36,                0.00371,                0.47972,                0.86458,                0.00422,                0.48003,                0.88567,                0.85032,                0.87303,                   0.94,                0.80006,                0.00354,                0.43902,                0.81789,                0.00386,                0.52283,                0.84148,               0.003268,               0.003268,               0.003268
                     37,                0.00387,                0.48056,                0.86688,                0.00439,                0.48645,                0.88806,                 0.8623,                0.92464,                0.96855,                0.81641,                0.00361,                0.44652,                0.81395,                0.00383,                0.45628,                0.82519,                0.00307,                0.00307,                0.00307
                     38,                 0.0038,                0.46606,                0.85313,                0.00426,                0.43775,                0.87082,                 0.9349,                0.87829,                0.96382,                0.81192,                0.00359,                0.43812,                0.81135,                0.00389,                 0.4501,                 0.8207,               0.002872,               0.002872,               0.002872
                     39,                0.00385,                0.47964,                0.87449,                0.00432,                0.46646,                0.90313,                0.81809,                0.91746,                0.94158,                 0.7918,                0.00364,                0.43745,                0.82043,                0.00382,                0.46221,                0.82097,               0.002674,               0.002674,               0.002674
                     40,                0.00368,                0.45397,                0.86052,                0.00418,                0.44041,                0.88624,                0.88382,                0.86711,                0.94892,                0.80497,                0.00374,                0.43307,                0.82716,                0.00379,                0.48474,                0.83987,               0.002476,               0.002476,               0.002476
                     41,                0.00357,                0.51125,                0.84732,                0.00394,                0.48032,                0.85286,                0.77132,                0.89934,                0.92515,                0.79089,                0.00366,                0.43341,                0.82916,                0.00375,                0.49896,                0.85827,               0.002278,               0.002278,               0.002278
                     42,                0.00358,                0.49564,                 0.8516,                0.00388,                0.46479,                0.86423,                0.84014,                0.87861,                0.93844,                0.79957,                 0.0037,                0.43555,                0.83055,                0.00372,                0.45322,                0.86488,                0.00208,                0.00208,                0.00208
                     43,                0.00344,                0.48499,                0.83704,                0.00369,                0.45382,                 0.8434,                0.80537,                0.90354,                0.93459,                0.80958,                0.00369,                0.42759,                0.82888,                0.00365,                0.45686,                0.85298,               0.001882,               0.001882,               0.001882
                     44,                0.00344,                0.48275,                0.84513,                0.00371,                0.43948,                0.85361,                0.88006,                0.85754,                0.93638,                0.81041,                0.00367,                0.41342,                0.82905,                 0.0037,                0.46348,                0.85377,               0.001684,               0.001684,               0.001684
                     45,                0.00329,                0.46499,                0.84367,                0.00356,                0.41619,                 0.8502,                0.83822,                0.86184,                 0.9304,                0.80803,                 0.0036,                0.41332,                0.82742,                0.00374,                0.48018,                0.85659,               0.001486,               0.001486,               0.001486
                     46,                0.00316,                0.45192,                0.81314,                0.00338,                0.42622,                0.81549,                0.82694,                0.82909,                0.92255,                0.80284,                0.00352,                0.40532,                0.82061,                0.00357,                0.49652,                0.84412,               0.001288,               0.001288,               0.001288
                     47,                0.00323,                0.44885,                 0.8276,                0.00347,                0.41424,                0.83834,                0.84233,                0.81781,                0.91595,                0.80171,                0.00333,                0.40194,                0.81085,                0.00335,                0.49988,                0.82585,                0.00109,                0.00109,                0.00109
                     48,                0.00315,                0.44003,                0.82365,                 0.0034,                 0.3918,                0.83551,                0.83983,                0.85359,                0.92317,                0.80701,                0.00332,                 0.3987,                0.80894,                0.00344,                0.46185,                0.81862,               0.000892,               0.000892,               0.000892
                     49,                0.00326,                0.44669,                0.82949,                0.00352,                0.38144,                0.83515,                0.82253,                0.88269,                0.93748,                 0.8162,                0.00336,                0.40035,                0.80815,                0.00349,                0.43933,                0.81534,               0.000694,               0.000694,               0.000694
                     50,                0.00318,                  0.443,                0.83606,                0.00347,                0.39061,                0.84692,                0.89232,                0.89333,                0.95405,                0.83704,                0.00335,                0.39912,                0.80768,                0.00353,                 0.4217,                0.80722,               0.000496,               0.000496,               0.000496
