                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.00575,                0.72724,                0.96076,                0.00642,                0.93676,                0.95929,                0.93001,                      1,                  0.995,                0.59062,                0.00828,                0.77601,                 1.2178,                 0.0092,                0.84661,                 1.3108,               0.008317,               0.008317,               0.008317
                     37,                0.00576,                0.67671,                 0.9874,                0.00691,                0.98121,                 1.0184,                0.93001,                      1,                  0.995,                0.59062,                0.00828,                0.77601,                 1.2178,                 0.0092,                0.84661,                 1.3108,              0.0082675,              0.0082675,              0.0082675
                     38,                0.00527,                0.60713,                0.95198,                0.00591,                0.63641,                0.98715,                0.83063,                 0.9838,                0.96167,                 0.6992,                0.00696,                0.69736,                 1.1017,                0.00798,                0.76425,                  1.225,               0.008218,               0.008218,               0.008218
                     39,                0.00597,                0.66969,                 1.0071,                0.00674,                0.86483,                 1.0364,                0.94944,                      1,                  0.995,                0.69947,                0.00619,                0.65708,                 1.0791,                0.00704,                0.71219,                 1.1558,              0.0081685,              0.0081685,              0.0081685
                     40,                0.00568,                0.64513,                0.95627,                0.00644,                0.63521,                0.98596,                0.94944,                      1,                  0.995,                0.69947,                0.00619,                0.65708,                 1.0791,                0.00704,                0.71219,                 1.1558,               0.008119,               0.008119,               0.008119
                     41,                0.00529,                0.60324,                0.97152,                0.00545,                 0.7571,                0.98114,                0.83147,                0.98884,                0.96167,                0.72231,                0.00642,                0.65388,                 1.0857,                0.00722,                    1.4,                 1.0971,              0.0080695,              0.0080695,              0.0080695
                     42,                0.00624,                0.68264,                0.96672,                0.00722,                0.98565,                0.99831,                0.83147,                0.98884,                0.96167,                0.72231,                0.00642,                0.65388,                 1.0857,                0.00722,                    1.4,                 1.0971,                0.00802,                0.00802,                0.00802
                     43,                0.00645,                0.75807,                 1.0161,                0.00796,                 1.0523,                 1.1113,                0.81233,                  0.874,                0.92833,                0.73043,                0.00603,                0.71848,                 1.0688,                0.00577,                0.87622,                 1.0292,              0.0079705,              0.0079705,              0.0079705
                     44,                0.00586,                0.65874,                0.96715,                0.00697,                0.72266,                 1.0301,                0.98965,                      1,                  0.995,                0.66677,                0.00695,                0.65736,                 1.1579,                0.00832,                0.56437,                 1.1808,               0.007921,               0.007921,               0.007921
                     45,                0.00605,                0.67324,                 1.0289,                0.00693,                0.66543,                 1.0439,                0.98965,                      1,                  0.995,                0.66677,                0.00695,                0.65736,                 1.1579,                0.00832,                0.56437,                 1.1808,              0.0078715,              0.0078715,              0.0078715
                     46,                0.00478,                 0.5896,                0.95173,                0.00571,                0.65183,                0.99615,                0.66174,                      1,                0.88071,                0.68223,                0.00683,                0.66988,                 1.1403,                0.00475,                 1.7234,                 1.0062,               0.007822,               0.007822,               0.007822
                     47,                0.00526,                0.63891,                0.95277,                0.00604,                0.88315,                 1.0123,                0.99709,                      1,                  0.995,                0.76433,                0.00691,                0.65947,                 1.1566,                0.00593,                0.61881,                 1.0061,              0.0077725,              0.0077725,              0.0077725
                     48,                 0.0054,                0.62933,                0.97129,                0.00625,                0.84839,                0.99036,                0.99709,                      1,                  0.995,                0.76433,                0.00691,                0.65947,                 1.1566,                0.00593,                0.61881,                 1.0061,               0.007723,               0.007723,               0.007723
                     49,                0.00539,                0.61536,                0.96548,                0.00595,                0.77925,                 1.0005,                0.97991,                      1,                  0.995,                0.76464,                0.00654,                0.57459,                 1.0883,                0.00655,                0.57934,                 1.0476,              0.0076735,              0.0076735,              0.0076735
                     50,                0.00522,                0.59942,                 0.9669,                0.00648,                0.67355,                 1.0563,                0.97991,                      1,                  0.995,                0.76464,                0.00654,                0.57459,                 1.0883,                0.00655,                0.57934,                 1.0476,               0.007624,               0.007624,               0.007624
                     51,                0.00537,                0.62433,                 1.0108,                0.00712,                0.67994,                 1.1781,                0.80812,                      1,                0.96167,                0.75583,                0.00757,                0.62938,                 1.1646,                0.00678,                0.62002,                 1.0239,              0.0075745,              0.0075745,              0.0075745
                     52,                0.00558,                0.65576,                0.99721,                0.00657,                0.83106,                 1.0827,                0.82347,                      1,                0.96167,                0.78143,                0.00772,                0.65293,                 1.2015,                0.00615,                0.47374,                 1.0037,               0.007525,               0.007525,               0.007525
                     53,                0.00511,                0.59311,                0.96138,                0.00626,                0.66337,                 1.0624,                0.82347,                      1,                0.96167,                0.78143,                0.00772,                0.65293,                 1.2015,                0.00615,                0.47374,                 1.0037,              0.0074755,              0.0074755,              0.0074755
                     54,                 0.0051,                0.58641,                0.94718,                0.00627,                0.72927,                 1.0263,                0.99441,                      1,                  0.995,                0.79645,                0.00807,                 0.5965,                 1.2419,                  0.007,                 0.4246,                 1.0826,               0.007426,               0.007426,               0.007426
                     55,                0.00613,                0.66694,                0.97713,                0.00788,                0.91583,                 1.0683,                0.99648,                      1,                  0.995,                0.73678,                0.00893,                0.62285,                 1.3866,                0.00792,                0.51669,                 1.1903,              0.0073765,              0.0073765,              0.0073765
                     56,                0.00522,                0.56532,                 0.9548,                0.00623,                0.63359,                 1.0217,                0.99648,                      1,                  0.995,                0.73678,                0.00893,                0.62285,                 1.3866,                0.00792,                0.51669,                 1.1903,               0.007327,               0.007327,               0.007327
                     57,                0.00543,                0.56609,                0.97117,                0.00648,                0.66235,                 1.0498,                0.99106,                      1,                  0.995,                0.77187,                 0.0089,                0.70804,                 1.3137,                0.00831,                0.46579,                 1.2036,              0.0072775,              0.0072775,              0.0072775
                     58,                0.00549,                0.58679,                0.95118,                0.00601,                0.60885,                0.95941,                0.99106,                      1,                  0.995,                0.77187,                 0.0089,                0.70804,                 1.3137,                0.00831,                0.46579,                 1.2036,               0.007228,               0.007228,               0.007228
                     59,                0.00568,                0.61667,                0.97515,                0.00676,                0.75659,                 1.0649,                      1,                0.96911,                  0.995,                0.72846,                0.00949,                0.80326,                 1.4068,                 0.0077,                 1.0679,                 1.2367,              0.0071785,              0.0071785,              0.0071785
                     60,                0.00637,                0.68801,                 1.0177,                0.00758,                 0.8301,                  1.114,                0.98846,                      1,                  0.995,                 0.7083,                0.00897,                0.69191,                 1.2869,                0.00885,                0.44028,                 1.2607,               0.007129,               0.007129,               0.007129
                     61,                0.00505,                0.57856,                0.92386,                0.00624,                0.61472,                 1.0092,                0.98846,                      1,                  0.995,                 0.7083,                0.00897,                0.69191,                 1.2869,                0.00885,                0.44028,                 1.2607,              0.0070795,              0.0070795,              0.0070795
                     62,                0.00537,                 0.6093,                0.97514,                0.00671,                0.70518,                 1.0808,                      1,                0.93362,                  0.995,                0.71495,                0.00869,                0.70505,                 1.2809,                0.00873,                0.65914,                 1.2736,                0.00703,                0.00703,                0.00703
                     63,                0.00564,                0.64743,                0.95616,                 0.0067,                0.80612,                0.99952,                0.98127,                      1,                  0.995,                0.74217,                0.00846,                0.63205,                 1.2766,                0.00778,                0.46596,                 1.1754,              0.0069805,              0.0069805,              0.0069805
                     64,                0.00508,                 0.6039,                0.97276,                0.00636,                 0.6418,                 1.0365,                0.98127,                      1,                  0.995,                0.74217,                0.00846,                0.63205,                 1.2766,                0.00778,                0.46596,                 1.1754,               0.006931,               0.006931,               0.006931
                     65,                0.00559,                0.61315,                0.98379,                0.00633,                0.72497,                 1.0472,                0.98339,                      1,                  0.995,                0.73813,                0.00763,                0.68623,                  1.216,                0.00771,                0.43089,                 1.1287,              0.0068815,              0.0068815,              0.0068815
                     66,                0.00535,                0.61462,                0.95674,                0.00581,                0.61955,                0.95129,                0.98339,                      1,                  0.995,                0.73813,                0.00763,                0.68623,                  1.216,                0.00771,                0.43089,                 1.1287,               0.006832,               0.006832,               0.006832
                     67,                0.00499,                0.56612,                0.93402,                0.00534,                0.72868,                0.97741,                0.79795,                    0.8,                  0.855,                0.60545,                0.00818,                0.73188,                 1.3383,                0.00822,                0.89795,                 1.2098,              0.0067825,              0.0067825,              0.0067825
                     68,                 0.0052,                0.62472,                0.95508,                0.00592,                0.82258,                 1.0075,                0.98928,                    0.8,                0.93786,                0.69197,                0.00696,                0.63303,                 1.1748,                  0.008,                0.69042,                 1.1506,               0.006733,               0.006733,               0.006733
                     69,                0.00508,                0.60597,                0.95152,                0.00602,                0.77038,                 1.0181,                0.98928,                    0.8,                0.93786,                0.69197,                0.00696,                0.63303,                 1.1748,                  0.008,                0.69042,                 1.1506,              0.0066835,              0.0066835,              0.0066835
                     70,                0.00532,                0.62065,                0.96672,                0.00628,                0.87321,                 1.0717,                0.94938,                    0.8,                0.96167,                0.65455,                0.00727,                0.69594,                 1.2887,                0.00878,                0.76281,                 1.3081,               0.006634,               0.006634,               0.006634
                     71,                0.00521,                0.56601,                0.93358,                0.00606,                0.67152,                 1.0185,                      1,                0.99517,                  0.995,                0.70395,                0.00762,                  0.628,                 1.3223,                0.00926,                0.57358,                 1.3498,              0.0065845,              0.0065845,              0.0065845
                     72,                0.00535,                0.56956,                0.95523,                0.00638,                 0.6761,                 1.0367,                      1,                0.99517,                  0.995,                0.70395,                0.00762,                  0.628,                 1.3223,                0.00926,                0.57358,                 1.3498,               0.006535,               0.006535,               0.006535
                     73,                0.00554,                0.61117,                0.93584,                0.00648,                0.58137,                0.98378,                0.99093,                      1,                  0.995,                0.70148,                0.00772,                0.69705,                 1.2925,                0.00784,                0.55561,                 1.2177,              0.0064855,              0.0064855,              0.0064855
                     74,                0.00496,                0.63177,                0.97841,                0.00613,                0.67878,                 1.0667,                0.99093,                      1,                  0.995,                0.70148,                0.00772,                0.69705,                 1.2925,                0.00784,                0.55561,                 1.2177,               0.006436,               0.006436,               0.006436
                     75,                0.00524,                0.55306,                  0.924,                 0.0056,                 0.6045,                0.95596,                      1,                0.99023,                  0.995,                0.75542,                0.00707,                0.67578,                 1.2026,                0.00782,                0.53907,                 1.2027,              0.0063865,              0.0063865,              0.0063865
                     76,                0.00545,                0.55538,                0.96533,                0.00616,                0.67267,                 1.0154,                      1,                0.78078,                0.93786,                0.70766,                0.00814,                0.69875,                 1.3268,                0.00756,                0.59699,                 1.2263,               0.006337,               0.006337,               0.006337
